,dt,const_mape_oot,const_macro_oot,const_macro_fact,const_ape_macro,update_w_mape_oot,update_w_macro_oot,update_w_macro_fact,update_w_ape_macro,diff,new_model_mape_oot,new_model_macro_oot,new_model_macro_fact,new_model_ape_macro,flag_new_model,mape_oos,mape_train
0,2023-01-31,0.255,414168.43,5990.985636805393,6813.19,,,,,,0.199,353142.0,420327.1618812257,-15.98,1,0.181,0.205
1,2023-02-28,0.289,415052.76,5975.45477815368,6845.96,0.244,411202.24,5975.45477815368,6781.52,-15.57,0.219,352995.38,414969.15855787526,-14.93,1,0.183,0.188
2,2023-03-31,0.265,415802.72,5969.655137596885,6865.27,0.221,411143.29,5969.655137596885,6787.22,-16.6,0.187,365665.25,412780.21452105965,-11.41,1,0.158,0.178
3,2023-04-30,0.305,413353.15,5971.0416327211315,6822.63,0.248,408803.79,5971.0416327211315,6746.44,-18.69,0.186,366213.07,413833.50586600753,-11.51,1,0.156,0.171
4,2023-05-31,0.241,413288.23,6002.564201561325,6785.19,0.196,411364.96,6002.564201561325,6753.15,-18.67,0.17,367688.27,424145.68419130036,-13.31,1,0.158,0.167
5,2023-06-30,0.261,407917.74,5983.732568174153,6717.11,0.204,406610.44,5983.732568174153,6695.26,-21.84,0.172,364354.2,416622.99319740233,-12.55,1,0.16,0.178
6,2023-07-31,0.277,411302.83,5974.002709833236,6784.88,0.214,405332.52,5974.002709833236,6684.94,-22.74,0.166,362996.5,414154.85695239354,-12.35,1,0.158,0.173
7,2023-08-31,0.241,411444.04,5987.009771224944,6772.28,0.193,407050.48,5987.009771224944,6698.89,-19.92,0.156,364913.08,417887.42961697036,-12.68,1,0.158,0.172
8,2023-09-30,0.253,410053.5,5980.369098593215,6756.66,0.185,404674.43,5980.369098593215,6666.71,-26.88,0.147,364627.46,414133.2044560737,-11.95,1,0.157,0.164
9,2023-10-31,0.261,407877.03,5981.820436193124,6718.61,0.202,405276.09,5981.820436193124,6675.13,-22.61,0.154,363724.84,417891.38033666223,-12.96,0,0.157,0.164
10,2023-11-30,0.271,411539.18,5988.657777039052,6771.98,0.2,408545.8,5988.657777039052,6721.99,-26.2,0.154,367626.05,420553.0604633439,-12.59,1,0.157,0.167
11,2023-12-31,0.246,409715.3,5976.129704251735,6755.86,0.186,403666.98,5976.129704251735,6654.66,-24.39,0.139,363155.04,412152.6856502554,-11.89,1,0.155,0.167
