month,features,mape_new,mape_old
2023-01,"['feature3', 'feature2', 'feature6', 'feature1', 'feature5']",0.185,0.255
2023-02,"['feature3', 'feature2', 'feature1', 'feature6', 'feature5']",0.188,0.204
2023-03,"['feature3', 'feature2', 'feature1', 'feature6', 'feature5', 'feature4']",0.16,0.172
2023-04,"['feature3', 'feature2', 'feature1', 'feature6', 'feature5', 'feature4', 'feature7']",0.18,0.17
2023-05,"['feature3', 'feature1', 'feature2', 'feature6', 'feature5', 'feature21']",0.162,0.164
2023-06,"['feature3', 'feature1', 'feature2', 'feature6', 'feature5', 'feature21']",0.161,0.166
2023-07,"['feature3', 'feature1', 'feature6', 'feature2', 'feature5', 'feature10']",0.159,0.162
2023-08,"['feature3', 'feature1', 'feature6', 'feature2', 'feature5', 'feature16']",0.144,0.151
2023-09,"['feature3', 'feature6', 'feature1', 'feature2', 'feature5']",0.143,0.141
2023-10,"['feature3', 'feature6', 'feature1', 'feature2', 'feature5']",0.148,0.15
2023-11,"['feature3', 'feature6', 'feature1', 'feature2', 'feature5', 'feature12']",0.148,0.152
2023-12,"['feature3', 'feature6', 'feature1', 'feature2', 'feature5', 'feature12']",0.132,0.137
